Tiempo consumido: 58.296, para cantidad: 500
Tiempo consumido: 58.831, para cantidad: 500
Tiempo consumido: 59.534, para cantidad: 500
Tiempo consumido: 59.475, para cantidad: 500
Tiempo consumido: 53.265, para cantidad: 500
Tiempo consumido: 54.437, para cantidad: 500
Tiempo consumido: 54.722, para cantidad: 500
Tiempo consumido: 52.523, para cantidad: 500
Tiempo consumido: 56.865, para cantidad: 500
Tiempo consumido: 51.442, para cantidad: 500
Tiempo consumido: 420.307, para cantidad: 1000
Tiempo consumido: 408.538, para cantidad: 1000
Tiempo consumido: 428.744, para cantidad: 1000
Tiempo consumido: 403.142, para cantidad: 1000
Tiempo consumido: 404.459, para cantidad: 1000
Tiempo consumido: 406.734, para cantidad: 1000
Tiempo consumido: 416.762, para cantidad: 1000
Tiempo consumido: 409.890, para cantidad: 1000
Tiempo consumido: 411.321, para cantidad: 1000
Tiempo consumido: 419.104, para cantidad: 1000
Tiempo consumido: 1399.041, para cantidad: 1500
Tiempo consumido: 1386.543, para cantidad: 1500
Tiempo consumido: 1390.686, para cantidad: 1500
Tiempo consumido: 1401.185, para cantidad: 1500
Tiempo consumido: 1395.876, para cantidad: 1500
Tiempo consumido: 1400.242, para cantidad: 1500
Tiempo consumido: 1391.678, para cantidad: 1500
Tiempo consumido: 1404.034, para cantidad: 1500
Tiempo consumido: 1390.512, para cantidad: 1500
Tiempo consumido: 1394.791, para cantidad: 1500
Tiempo consumido: 3442.135, para cantidad: 2000
Tiempo consumido: 3332.525, para cantidad: 2000
Tiempo consumido: 3350.740, para cantidad: 2000
Tiempo consumido: 3343.790, para cantidad: 2000
Tiempo consumido: 3351.652, para cantidad: 2000
Tiempo consumido: 3335.128, para cantidad: 2000
Tiempo consumido: 3343.220, para cantidad: 2000
Tiempo consumido: 3362.973, para cantidad: 2000
Tiempo consumido: 3342.137, para cantidad: 2000
Tiempo consumido: 3354.520, para cantidad: 2000
Tiempo consumido: 20627.264, para cantidad: 3500
Tiempo consumido: 19676.502, para cantidad: 3500
Tiempo consumido: 20451.350, para cantidad: 3500
Tiempo consumido: 20390.063, para cantidad: 3500
Tiempo consumido: 19627.062, para cantidad: 3500
Tiempo consumido: 19655.185, para cantidad: 3500
Tiempo consumido: 20097.708, para cantidad: 3500
Tiempo consumido: 19799.390, para cantidad: 3500
Tiempo consumido: 20300.824, para cantidad: 3500
Tiempo consumido: 20639.350, para cantidad: 3500
Tiempo consumido: 60152.480, para cantidad: 5000
Tiempo consumido: 61869.548, para cantidad: 5000
Tiempo consumido: 61988.418, para cantidad: 5000
Tiempo consumido: 61978.551, para cantidad: 5000
Tiempo consumido: 62559.482, para cantidad: 5000
Tiempo consumido: 60543.417, para cantidad: 5000
Tiempo consumido: 61596.749, para cantidad: 5000
Tiempo consumido: 62742.801, para cantidad: 5000
Tiempo consumido: 59880.395, para cantidad: 5000
Tiempo consumido: 59288.857, para cantidad: 5000
