Tiempo consumido: 50.086, para cantidad: 500
Tiempo consumido: 50.743, para cantidad: 500
Tiempo consumido: 50.832, para cantidad: 500
Tiempo consumido: 50.778, para cantidad: 500
Tiempo consumido: 50.988, para cantidad: 500
Tiempo consumido: 50.883, para cantidad: 500
Tiempo consumido: 50.817, para cantidad: 500
Tiempo consumido: 50.614, para cantidad: 500
Tiempo consumido: 50.938, para cantidad: 500
Tiempo consumido: 53.415, para cantidad: 500
Tiempo consumido: 415.234, para cantidad: 1000
Tiempo consumido: 416.448, para cantidad: 1000
Tiempo consumido: 418.463, para cantidad: 1000
Tiempo consumido: 420.626, para cantidad: 1000
Tiempo consumido: 418.828, para cantidad: 1000
Tiempo consumido: 418.148, para cantidad: 1000
Tiempo consumido: 419.658, para cantidad: 1000
Tiempo consumido: 418.313, para cantidad: 1000
Tiempo consumido: 419.874, para cantidad: 1000
Tiempo consumido: 455.637, para cantidad: 1000
Tiempo consumido: 1458.958, para cantidad: 1500
Tiempo consumido: 1432.889, para cantidad: 1500
Tiempo consumido: 1479.375, para cantidad: 1500
Tiempo consumido: 1529.897, para cantidad: 1500
Tiempo consumido: 1468.050, para cantidad: 1500
Tiempo consumido: 1490.697, para cantidad: 1500
Tiempo consumido: 1471.125, para cantidad: 1500
Tiempo consumido: 1441.253, para cantidad: 1500
Tiempo consumido: 1449.323, para cantidad: 1500
Tiempo consumido: 1455.774, para cantidad: 1500
Tiempo consumido: 3521.037, para cantidad: 2000
Tiempo consumido: 3514.792, para cantidad: 2000
Tiempo consumido: 3504.582, para cantidad: 2000
Tiempo consumido: 3501.948, para cantidad: 2000
Tiempo consumido: 3504.202, para cantidad: 2000
Tiempo consumido: 3521.231, para cantidad: 2000
Tiempo consumido: 3733.179, para cantidad: 2000
Tiempo consumido: 3536.520, para cantidad: 2000
Tiempo consumido: 3520.395, para cantidad: 2000
Tiempo consumido: 3513.859, para cantidad: 2000
Tiempo consumido: 21705.476, para cantidad: 3500
Tiempo consumido: 21651.307, para cantidad: 3500
Tiempo consumido: 21706.804, para cantidad: 3500
Tiempo consumido: 21677.562, para cantidad: 3500
Tiempo consumido: 21868.434, para cantidad: 3500
Tiempo consumido: 21691.115, para cantidad: 3500
Tiempo consumido: 21767.898, para cantidad: 3500
Tiempo consumido: 21782.463, para cantidad: 3500
Tiempo consumido: 21749.802, para cantidad: 3500
Tiempo consumido: 21849.269, para cantidad: 3500
Tiempo consumido: 62204.210, para cantidad: 5000
Tiempo consumido: 67947.292, para cantidad: 5000
Tiempo consumido: 65457.241, para cantidad: 5000
Tiempo consumido: 64368.873, para cantidad: 5000
Tiempo consumido: 67393.598, para cantidad: 5000
Tiempo consumido: 66150.770, para cantidad: 5000
Tiempo consumido: 66592.466, para cantidad: 5000
Tiempo consumido: 66067.153, para cantidad: 5000
Tiempo consumido: 66586.941, para cantidad: 5000
Tiempo consumido: 65376.444, para cantidad: 5000
