Tiempo consumido: 888.129, para cantidad: 500
Tiempo consumido: 886.317, para cantidad: 500
Tiempo consumido: 1008.537, para cantidad: 500
Tiempo consumido: 1300.885, para cantidad: 500
Tiempo consumido: 962.825, para cantidad: 500
Tiempo consumido: 975.024, para cantidad: 500
Tiempo consumido: 984.800, para cantidad: 500
Tiempo consumido: 1022.573, para cantidad: 500
Tiempo consumido: 1045.729, para cantidad: 500
Tiempo consumido: 1003.707, para cantidad: 500
Tiempo consumido: 8641.653, para cantidad: 1000
Tiempo consumido: 7855.605, para cantidad: 1000
Tiempo consumido: 7690.106, para cantidad: 1000
Tiempo consumido: 7684.314, para cantidad: 1000
Tiempo consumido: 7710.598, para cantidad: 1000
Tiempo consumido: 7741.773, para cantidad: 1000
Tiempo consumido: 7734.419, para cantidad: 1000
Tiempo consumido: 7702.910, para cantidad: 1000
Tiempo consumido: 7705.479, para cantidad: 1000
Tiempo consumido: 7728.335, para cantidad: 1000
Tiempo consumido: 39384.522, para cantidad: 1500
Tiempo consumido: 27734.971, para cantidad: 1500
Tiempo consumido: 27284.745, para cantidad: 1500
Tiempo consumido: 27189.035, para cantidad: 1500
Tiempo consumido: 27210.495, para cantidad: 1500
Tiempo consumido: 27208.433, para cantidad: 1500
Tiempo consumido: 27283.093, para cantidad: 1500
Tiempo consumido: 27191.416, para cantidad: 1500
Tiempo consumido: 27318.746, para cantidad: 1500
Tiempo consumido: 27229.910, para cantidad: 1500
Tiempo consumido: 69534.471, para cantidad: 2000
Tiempo consumido: 70367.343, para cantidad: 2000
Tiempo consumido: 70085.240, para cantidad: 2000
Tiempo consumido: 70200.370, para cantidad: 2000
Tiempo consumido: 70122.661, para cantidad: 2000
Tiempo consumido: 70195.696, para cantidad: 2000
Tiempo consumido: 70486.259, para cantidad: 2000
Tiempo consumido: 69989.619, para cantidad: 2000
Tiempo consumido: 70619.502, para cantidad: 2000
Tiempo consumido: 70863.645, para cantidad: 2000
Tiempo consumido: 953439.614, para cantidad: 3500
Tiempo consumido: 902950.602, para cantidad: 3500
Tiempo consumido: 958607.000, para cantidad: 3500
Tiempo consumido: 1037940.150, para cantidad: 3500
Tiempo consumido: 1029319.274, para cantidad: 3500
Tiempo consumido: 1037827.129, para cantidad: 3500
Tiempo consumido: 1036948.555, para cantidad: 3500
Tiempo consumido: 1038616.063, para cantidad: 3500
Tiempo consumido: 1041809.358, para cantidad: 3500
Tiempo consumido: 1046136.013, para cantidad: 3500
Tiempo consumido: 4532624.344, para cantidad: 5000
Tiempo consumido: 4536843.545, para cantidad: 5000
Tiempo consumido: 4536448.169, para cantidad: 5000
