Tiempo consumido: 61.847, para cantidad: 500
Tiempo consumido: 47.271, para cantidad: 500
Tiempo consumido: 47.589, para cantidad: 500
Tiempo consumido: 46.976, para cantidad: 500
Tiempo consumido: 48.237, para cantidad: 500
Tiempo consumido: 47.145, para cantidad: 500
Tiempo consumido: 61.067, para cantidad: 500
Tiempo consumido: 46.906, para cantidad: 500
Tiempo consumido: 47.051, para cantidad: 500
Tiempo consumido: 47.228, para cantidad: 500
Tiempo consumido: 404.624, para cantidad: 1000
Tiempo consumido: 390.389, para cantidad: 1000
Tiempo consumido: 390.845, para cantidad: 1000
Tiempo consumido: 388.933, para cantidad: 1000
Tiempo consumido: 395.606, para cantidad: 1000
Tiempo consumido: 393.275, para cantidad: 1000
Tiempo consumido: 389.955, para cantidad: 1000
Tiempo consumido: 390.616, para cantidad: 1000
Tiempo consumido: 390.311, para cantidad: 1000
Tiempo consumido: 390.344, para cantidad: 1000
Tiempo consumido: 1377.544, para cantidad: 1500
Tiempo consumido: 1380.578, para cantidad: 1500
Tiempo consumido: 1382.593, para cantidad: 1500
Tiempo consumido: 1379.182, para cantidad: 1500
Tiempo consumido: 1384.385, para cantidad: 1500
Tiempo consumido: 1381.673, para cantidad: 1500
Tiempo consumido: 1419.027, para cantidad: 1500
Tiempo consumido: 1406.571, para cantidad: 1500
Tiempo consumido: 1531.560, para cantidad: 1500
Tiempo consumido: 1447.731, para cantidad: 1500
Tiempo consumido: 3462.442, para cantidad: 2000
Tiempo consumido: 3460.692, para cantidad: 2000
Tiempo consumido: 3377.813, para cantidad: 2000
Tiempo consumido: 3418.064, para cantidad: 2000
Tiempo consumido: 3379.751, para cantidad: 2000
Tiempo consumido: 3448.335, para cantidad: 2000
Tiempo consumido: 3690.456, para cantidad: 2000
Tiempo consumido: 3519.687, para cantidad: 2000
Tiempo consumido: 3522.494, para cantidad: 2000
Tiempo consumido: 3584.779, para cantidad: 2000
Tiempo consumido: 19690.150, para cantidad: 3500
Tiempo consumido: 19474.639, para cantidad: 3500
Tiempo consumido: 19732.253, para cantidad: 3500
Tiempo consumido: 19612.084, para cantidad: 3500
Tiempo consumido: 19711.840, para cantidad: 3500
Tiempo consumido: 18868.413, para cantidad: 3500
Tiempo consumido: 18979.779, para cantidad: 3500
Tiempo consumido: 18835.945, para cantidad: 3500
Tiempo consumido: 18981.700, para cantidad: 3500
Tiempo consumido: 18761.359, para cantidad: 3500
Tiempo consumido: 61201.327, para cantidad: 5000
Tiempo consumido: 60988.284, para cantidad: 5000
Tiempo consumido: 60251.396, para cantidad: 5000
Tiempo consumido: 59839.213, para cantidad: 5000
Tiempo consumido: 60817.554, para cantidad: 5000
Tiempo consumido: 63158.261, para cantidad: 5000
Tiempo consumido: 62733.381, para cantidad: 5000
Tiempo consumido: 62672.648, para cantidad: 5000
Tiempo consumido: 61504.768, para cantidad: 5000
Tiempo consumido: 61984.118, para cantidad: 5000
Tiempo consumido: 12.409, para cantidad: 500
Tiempo consumido: 12.277, para cantidad: 500
Tiempo consumido: 22.480, para cantidad: 500
Tiempo consumido: 13.227, para cantidad: 500
Tiempo consumido: 13.756, para cantidad: 500
Tiempo consumido: 20.110, para cantidad: 500
Tiempo consumido: 12.348, para cantidad: 500
Tiempo consumido: 12.242, para cantidad: 500
Tiempo consumido: 12.307, para cantidad: 500
Tiempo consumido: 12.315, para cantidad: 500
Tiempo consumido: 107.174, para cantidad: 1000
Tiempo consumido: 110.685, para cantidad: 1000
Tiempo consumido: 105.670, para cantidad: 1000
Tiempo consumido: 120.418, para cantidad: 1000
Tiempo consumido: 121.654, para cantidad: 1000
Tiempo consumido: 117.310, para cantidad: 1000
Tiempo consumido: 107.214, para cantidad: 1000
Tiempo consumido: 115.318, para cantidad: 1000
Tiempo consumido: 108.794, para cantidad: 1000
Tiempo consumido: 117.845, para cantidad: 1000
Tiempo consumido: 615.948, para cantidad: 1500
Tiempo consumido: 622.792, para cantidad: 1500
Tiempo consumido: 618.799, para cantidad: 1500
Tiempo consumido: 610.607, para cantidad: 1500
Tiempo consumido: 612.831, para cantidad: 1500
Tiempo consumido: 618.140, para cantidad: 1500
Tiempo consumido: 620.747, para cantidad: 1500
Tiempo consumido: 625.147, para cantidad: 1500
Tiempo consumido: 610.670, para cantidad: 1500
Tiempo consumido: 617.758, para cantidad: 1500
Tiempo consumido: 1625.187, para cantidad: 2000
Tiempo consumido: 1631.068, para cantidad: 2000
Tiempo consumido: 1616.897, para cantidad: 2000
Tiempo consumido: 1610.573, para cantidad: 2000
Tiempo consumido: 1615.871, para cantidad: 2000
Tiempo consumido: 1633.901, para cantidad: 2000
Tiempo consumido: 1626.443, para cantidad: 2000
Tiempo consumido: 1642.452, para cantidad: 2000
Tiempo consumido: 1623.901, para cantidad: 2000
Tiempo consumido: 1624.694, para cantidad: 2000
Tiempo consumido: 10719.173, para cantidad: 3500
Tiempo consumido: 10762.586, para cantidad: 3500
Tiempo consumido: 10902.293, para cantidad: 3500
Tiempo consumido: 10851.186, para cantidad: 3500
Tiempo consumido: 10739.398, para cantidad: 3500
Tiempo consumido: 10886.000, para cantidad: 3500
Tiempo consumido: 10777.449, para cantidad: 3500
Tiempo consumido: 10735.045, para cantidad: 3500
Tiempo consumido: 10811.177, para cantidad: 3500
Tiempo consumido: 10715.377, para cantidad: 3500
Tiempo consumido: 36716.823, para cantidad: 5000
Tiempo consumido: 36547.691, para cantidad: 5000
Tiempo consumido: 36951.796, para cantidad: 5000
Tiempo consumido: 36863.827, para cantidad: 5000
Tiempo consumido: 36402.543, para cantidad: 5000
Tiempo consumido: 36513.411, para cantidad: 5000
Tiempo consumido: 37003.337, para cantidad: 5000
Tiempo consumido: 36795.300, para cantidad: 5000
Tiempo consumido: 36944.774, para cantidad: 5000
Tiempo consumido: 36760.435, para cantidad: 5000
