Tiempo consumido: 3367.197, para cantidad: 500
Tiempo consumido: 3420.490, para cantidad: 500
Tiempo consumido: 3437.126, para cantidad: 500
Tiempo consumido: 3446.060, para cantidad: 500
Tiempo consumido: 3443.065, para cantidad: 500
Tiempo consumido: 3389.811, para cantidad: 500
Tiempo consumido: 3377.664, para cantidad: 500
Tiempo consumido: 3387.603, para cantidad: 500
Tiempo consumido: 3373.113, para cantidad: 500
Tiempo consumido: 3371.122, para cantidad: 500
Tiempo consumido: 29343.200, para cantidad: 1000
Tiempo consumido: 29283.231, para cantidad: 1000
Tiempo consumido: 29297.518, para cantidad: 1000
Tiempo consumido: 29278.308, para cantidad: 1000
Tiempo consumido: 29267.856, para cantidad: 1000
Tiempo consumido: 29310.630, para cantidad: 1000
Tiempo consumido: 29300.696, para cantidad: 1000
Tiempo consumido: 29284.446, para cantidad: 1000
Tiempo consumido: 29327.970, para cantidad: 1000
Tiempo consumido: 29312.096, para cantidad: 1000
Tiempo consumido: 102772.099, para cantidad: 1500
Tiempo consumido: 100793.967, para cantidad: 1500
Tiempo consumido: 100108.248, para cantidad: 1500
Tiempo consumido: 100119.367, para cantidad: 1500
Tiempo consumido: 100136.443, para cantidad: 1500
Tiempo consumido: 100178.145, para cantidad: 1500
Tiempo consumido: 100094.679, para cantidad: 1500
Tiempo consumido: 100097.846, para cantidad: 1500
Tiempo consumido: 100146.112, para cantidad: 1500
Tiempo consumido: 100065.930, para cantidad: 1500
Tiempo consumido: 240435.929, para cantidad: 2000
Tiempo consumido: 240378.171, para cantidad: 2000
Tiempo consumido: 240197.369, para cantidad: 2000
Tiempo consumido: 240969.234, para cantidad: 2000
Tiempo consumido: 240249.633, para cantidad: 2000
Tiempo consumido: 240303.315, para cantidad: 2000
Tiempo consumido: 240501.850, para cantidad: 2000
Tiempo consumido: 240228.537, para cantidad: 2000
Tiempo consumido: 240719.637, para cantidad: 2000
Tiempo consumido: 240275.297, para cantidad: 2000
Tiempo consumido: 1880839.943, para cantidad: 3500
Tiempo consumido: 1397553.265, para cantidad: 3500
Tiempo consumido: 1425668.070, para cantidad: 3500
Tiempo consumido: 1412407.365, para cantidad: 3500
Tiempo consumido: 1456888.172, para cantidad: 3500
Tiempo consumido: 8118596.836, para cantidad: 5000
Tiempo consumido: 6637167.307, para cantidad: 5000
Tiempo consumido: 7023131.803, para cantidad: 5000
Tiempo consumido: 7452992.683, para cantidad: 5000
Tiempo consumido: 7806994.965, para cantidad: 5000
