MPI
Tiempo consumido: 338.256, para cantidad: 500
Tiempo consumido: 187.363, para cantidad: 500
Tiempo consumido: 189.691, para cantidad: 500
Tiempo consumido: 241.334, para cantidad: 500 
Tiempo consumido: 238.093, para cantidad: 500 
Tiempo consumido: 230.620, para cantidad: 500 
Tiempo consumido: 233.893, para cantidad: 500 
Tiempo consumido: 226.985, para cantidad: 500 
Tiempo consumido: 232.406, para cantidad: 500 
Tiempo consumido: 240.393, para cantidad: 500 
Tiempo consumido: 2969.961, para cantidad: 1000
Tiempo consumido: 1625.575, para cantidad: 1000
Tiempo consumido: 1650.773, para cantidad: 1000
Tiempo consumido: 2024.650, para cantidad: 1000 
Tiempo consumido: 2047.091, para cantidad: 1000 
Tiempo consumido: 2047.802, para cantidad: 1000 
Tiempo consumido: 2114.248, para cantidad: 1000 
Tiempo consumido: 2094.890, para cantidad: 1000 
Tiempo consumido: 2164.391, para cantidad: 1000 
Tiempo consumido: 2116.523, para cantidad: 1000 
Tiempo consumido: 6700.865, para cantidad: 1500
Tiempo consumido: 6595.082, para cantidad: 1500
Tiempo consumido: 5647.349, para cantidad: 1500
Tiempo consumido: 5781.006, para cantidad: 1500
Tiempo consumido: 6338.254, para cantidad: 1500 
Tiempo consumido: 5922.537, para cantidad: 1500 
Tiempo consumido: 6271.338, para cantidad: 1500 
Tiempo consumido: 6058.847, para cantidad: 1500 
Tiempo consumido: 5874.526, para cantidad: 1500 
Tiempo consumido: 6316.092, para cantidad: 1500 
Tiempo consumido: 20493.111, para cantidad: 2000
Tiempo consumido: 116149.449, para cantidad: 2000
Tiempo consumido: 21089.389, para cantidad: 2000 
Tiempo consumido: 20197.252, para cantidad: 2000 
Tiempo consumido: 20880.979, para cantidad: 2000 
Tiempo consumido: 20103.742, para cantidad: 2000 
Tiempo consumido: 20226.923, para cantidad: 2000 
Tiempo consumido: 20037.756, para cantidad: 2000 
Tiempo consumido: 20329.061, para cantidad: 2000 
Tiempo consumido: 19900.389, para cantidad: 2000 
Tiempo consumido: 882442.950, para cantidad: 3500
Tiempo consumido: 635170.499, para cantidad: 3500
