OPENMP
Tiempo consumido: 691.462, para cantidad: 500
Tiempo consumido: 629.010, para cantidad: 500
Tiempo consumido: 630.868, para cantidad: 500
Tiempo consumido: 634.797, para cantidad: 500
Tiempo consumido: 628.936, para cantidad: 500
Tiempo consumido: 629.430, para cantidad: 500
Tiempo consumido: 632.762, para cantidad: 500
Tiempo consumido: 630.840, para cantidad: 500
Tiempo consumido: 631.400, para cantidad: 500
Tiempo consumido: 633.021, para cantidad: 500
Tiempo consumido: 6036.035, para cantidad: 1000
Tiempo consumido: 6028.782, para cantidad: 1000
Tiempo consumido: 6030.703, para cantidad: 1000
Tiempo consumido: 6022.596, para cantidad: 1000
Tiempo consumido: 6015.142, para cantidad: 1000
Tiempo consumido: 6039.081, para cantidad: 1000
Tiempo consumido: 6140.471, para cantidad: 1000 
Tiempo consumido: 6238.051, para cantidad: 1000 
Tiempo consumido: 5809.992, para cantidad: 1000 
Tiempo consumido: 6128.315, para cantidad: 1000 
Tiempo consumido: 20420.809, para cantidad: 1500
Tiempo consumido: 19504.404, para cantidad: 1500 
Tiempo consumido: 20073.510, para cantidad: 1500 
Tiempo consumido: 20337.761, para cantidad: 1500 
Tiempo consumido: 21399.966, para cantidad: 1500 
Tiempo consumido: 20971.730, para cantidad: 1500 
Tiempo consumido: 20727.342, para cantidad: 1500 
Tiempo consumido: 19867.181, para cantidad: 1500 
Tiempo consumido: 20133.510, para cantidad: 1500 
Tiempo consumido: 20645.438, para cantidad: 1500 
Tiempo consumido: 58898.327, para cantidad: 2000
Tiempo consumido: 57779.259, para cantidad: 2000 
Tiempo consumido: 57488.113, para cantidad: 2000 
Tiempo consumido: 61754.300, para cantidad: 2000 
Tiempo consumido: 59890.506, para cantidad: 2000 
Tiempo consumido: 60606.379, para cantidad: 2000 
Tiempo consumido: 59868.915, para cantidad: 2000 
Tiempo consumido: 60348.489, para cantidad: 2000 
Tiempo consumido: 61657.048, para cantidad: 2000 
Tiempo consumido: 58159.759, para cantidad: 2000 
Tiempo consumido: 376581.207, para cantidad: 3500
Tiempo consumido: 444310.744, para cantidad: 3500 
Tiempo consumido: 441276.544, para cantidad: 3500 
Tiempo consumido: 302454.449, para cantidad: 3500 
Tiempo consumido: 312800.124, para cantidad: 3500 
Tiempo consumido: 303034.641, para cantidad: 3500 
Tiempo consumido: 462328.220, para cantidad: 3500 
Tiempo consumido: 307632.938, para cantidad: 3500 
Tiempo consumido: 430794.501, para cantidad: 3500 
Tiempo consumido: 434220.662, para cantidad: 3500 
Tiempo consumido: 1256051.073, para cantidad: 5000
Tiempo consumido: 1050664.739, para cantidad: 5000 
Tiempo consumido: 1013829.187, para cantidad: 5000 
Tiempo consumido: 1543163.967, para cantidad: 5000 
Tiempo consumido: 1460410.007, para cantidad: 5000 
Tiempo consumido: 1520386.436, para cantidad: 5000 
Tiempo consumido: 1511433.492, para cantidad: 5000 
Tiempo consumido: 1022993.717, para cantidad: 5000 
Tiempo consumido: 1462833.792, para cantidad: 5000 
Tiempo consumido: 1461579.133, para cantidad: 5000 

OPENMP o3
Tiempo consumido: 105.956, para cantidad: 500
Tiempo consumido: 105.363, para cantidad: 500
Tiempo consumido: 107.152, para cantidad: 500
Tiempo consumido: 105.721, para cantidad: 500
Tiempo consumido: 105.640, para cantidad: 500
Tiempo consumido: 106.149, para cantidad: 500
Tiempo consumido: 105.491, para cantidad: 500
Tiempo consumido: 107.013, para cantidad: 500
Tiempo consumido: 105.475, para cantidad: 500
Tiempo consumido: 105.980, para cantidad: 500
Tiempo consumido: 1132.248, para cantidad: 1000
Tiempo consumido: 1132.019, para cantidad: 1000
Tiempo consumido: 1138.764, para cantidad: 1000
Tiempo consumido: 1135.437, para cantidad: 1000
Tiempo consumido: 1134.374, para cantidad: 1000
Tiempo consumido: 1133.633, para cantidad: 1000
Tiempo consumido: 1137.419, para cantidad: 1000
Tiempo consumido: 1134.252, para cantidad: 1000
Tiempo consumido: 1136.071, para cantidad: 1000
Tiempo consumido: 1135.487, para cantidad: 1000
Tiempo consumido: 4063.541, para cantidad: 1500
Tiempo consumido: 4117.119, para cantidad: 1500
Tiempo consumido: 3980.887, para cantidad: 1500 
Tiempo consumido: 4245.269, para cantidad: 1500 
Tiempo consumido: 4027.923, para cantidad: 1500 
Tiempo consumido: 4262.329, para cantidad: 1500 
Tiempo consumido: 4187.252, para cantidad: 1500 
Tiempo consumido: 4241.910, para cantidad: 1500 
Tiempo consumido: 4119.177, para cantidad: 1500 
Tiempo consumido: 4274.916, para cantidad: 1500 
Tiempo consumido: 17320.667, para cantidad: 2000
Tiempo consumido: 17695.628, para cantidad: 2000
Tiempo consumido: 17347.443, para cantidad: 2000 
Tiempo consumido: 17186.845, para cantidad: 2000 
Tiempo consumido: 18109.448, para cantidad: 2000 
Tiempo consumido: 17766.335, para cantidad: 2000 
Tiempo consumido: 17889.253, para cantidad: 2000 
Tiempo consumido: 17794.483, para cantidad: 2000 
Tiempo consumido: 17900.909, para cantidad: 2000 
Tiempo consumido: 17296.548, para cantidad: 2000 
Tiempo consumido: 535660.344, para cantidad: 3500
Tiempo consumido: 400450.507, para cantidad: 3500 
Tiempo consumido: 688228.158, para cantidad: 3500 
Tiempo consumido: 681433.593, para cantidad: 3500 
Tiempo consumido: 375948.050, para cantidad: 3500 
Tiempo consumido: 680657.798, para cantidad: 3500 
Tiempo consumido: 711294.776, para cantidad: 3500 
Tiempo consumido: 376760.362, para cantidad: 3500 
Tiempo consumido: 368198.275, para cantidad: 3500 
Tiempo consumido: 391409.380, para cantidad: 3500 
Tiempo consumido: 1721324.073, para cantidad: 5000
Tiempo consumido: 1020234.135, para cantidad: 5000
Tiempo consumido: 1800894.144, para cantidad: 5000 
Tiempo consumido: 981382.267, para cantidad: 5000 
Tiempo consumido: 1765078.656, para cantidad: 5000 
Tiempo consumido: 1831517.787, para cantidad: 5000 
Tiempo consumido: 1759245.782, para cantidad: 5000 
Tiempo consumido: 970176.797, para cantidad: 5000 
Tiempo consumido: 1027832.648, para cantidad: 5000 
Tiempo consumido: 1005563.694, para cantidad: 5000 
