SECUENCIAL
### Datos Completados ###
Tiempo consumido: 630.490, para cantidad: 500
Tiempo consumido: 631.250, para cantidad: 500
Tiempo consumido: 632.296, para cantidad: 500
Tiempo consumido: 628.607, para cantidad: 500
Tiempo consumido: 634.282, para cantidad: 500
Tiempo consumido: 630.824, para cantidad: 500
Tiempo consumido: 628.153, para cantidad: 500
Tiempo consumido: 633.564, para cantidad: 500
Tiempo consumido: 633.072, para cantidad: 500
Tiempo consumido: 630.369, para cantidad: 500
Tiempo consumido: 6332.153, para cantidad: 1000
Tiempo consumido: 6130.681, para cantidad: 1000
Tiempo consumido: 6286.282, para cantidad: 1000
Tiempo consumido: 6317.603, para cantidad: 1000
Tiempo consumido: 6145.217, para cantidad: 1000
Tiempo consumido: 6305.832, para cantidad: 1000
Tiempo consumido: 6238.575, para cantidad: 1000
Tiempo consumido: 6142.622, para cantidad: 1000
Tiempo consumido: 6240.685, para cantidad: 1000
Tiempo consumido: 6305.975, para cantidad: 1000
Tiempo consumido: 24024.891, para cantidad: 1500
Tiempo consumido: 22340.881, para cantidad: 1500
Tiempo consumido: 23964.077, para cantidad: 1500 
Tiempo consumido: 22701.952, para cantidad: 1500 
Tiempo consumido: 22218.022, para cantidad: 1500 
Tiempo consumido: 22551.173, para cantidad: 1500 
Tiempo consumido: 22706.055, para cantidad: 1500 
Tiempo consumido: 23624.156, para cantidad: 1500 
Tiempo consumido: 22674.377, para cantidad: 1500 
Tiempo consumido: 22618.239, para cantidad: 1500 
Tiempo consumido: 81956.661, para cantidad: 2000
Tiempo consumido: 80234.257, para cantidad: 2000
Tiempo consumido: 79072.178, para cantidad: 2000 
Tiempo consumido: 83049.848, para cantidad: 2000 
Tiempo consumido: 80048.442, para cantidad: 2000 
Tiempo consumido: 82704.281, para cantidad: 2000 
Tiempo consumido: 83993.415, para cantidad: 2000 
Tiempo consumido: 79029.693, para cantidad: 2000 
Tiempo consumido: 77640.191, para cantidad: 2000 
Tiempo consumido: 78849.406, para cantidad: 2000 
Tiempo consumido: 405176.389, para cantidad: 3500
Tiempo consumido: 423098.548, para cantidad: 3500 
Tiempo consumido: 391572.520, para cantidad: 3500 
Tiempo consumido: 387327.200, para cantidad: 3500 
Tiempo consumido: 385983.030, para cantidad: 3500 
Tiempo consumido: 392210.676, para cantidad: 3500 
Tiempo consumido: 420137.018, para cantidad: 3500 
Tiempo consumido: 390702.112, para cantidad: 3500 
Tiempo consumido: 394519.799, para cantidad: 3500 
Tiempo consumido: 418105.823, para cantidad: 3500 
Tiempo consumido: 2735664.084, para cantidad: 5000
Tiempo consumido: 2798563.030, para cantidad: 5000 
Tiempo consumido: 2637255.049, para cantidad: 5000 
Tiempo consumido: 2622921.153, para cantidad: 5000 
Tiempo consumido: 2692127.533, para cantidad: 5000 
Tiempo consumido: 2841660.984, para cantidad: 5000 
Tiempo consumido: 2679922.851, para cantidad: 5000 
Tiempo consumido: 2814998.342, para cantidad: 5000 
Tiempo consumido: 2853244.347, para cantidad: 5000 
Tiempo consumido: 2649012.680, para cantidad: 5000 

SECUENCIAL o3
Tiempo consumido: 106.631, para cantidad: 500
Tiempo consumido: 108.213, para cantidad: 500
Tiempo consumido: 105.988, para cantidad: 500
Tiempo consumido: 109.832, para cantidad: 500
Tiempo consumido: 106.185, para cantidad: 500
Tiempo consumido: 105.126, para cantidad: 500
Tiempo consumido: 105.503, para cantidad: 500
Tiempo consumido: 104.672, para cantidad: 500
Tiempo consumido: 103.931, para cantidad: 500
Tiempo consumido: 106.026, para cantidad: 500
Tiempo consumido: 1143.154, para cantidad: 1000
Tiempo consumido: 1144.851, para cantidad: 1000
Tiempo consumido: 1182.092, para cantidad: 1000 
Tiempo consumido: 1175.597, para cantidad: 1000 
Tiempo consumido: 1110.210, para cantidad: 1000 
Tiempo consumido: 1128.912, para cantidad: 1000 
Tiempo consumido: 1112.296, para cantidad: 1000 
Tiempo consumido: 1180.055, para cantidad: 1000 
Tiempo consumido: 1102.439, para cantidad: 1000 
Tiempo consumido: 1090.198, para cantidad: 1000 
Tiempo consumido: 4313.200, para cantidad: 1500
Tiempo consumido: 4263.450, para cantidad: 1500
Tiempo consumido: 4278.092, para cantidad: 1500 
Tiempo consumido: 4414.636, para cantidad: 1500 
Tiempo consumido: 4183.956, para cantidad: 1500 
Tiempo consumido: 4173.507, para cantidad: 1500 
Tiempo consumido: 4381.974, para cantidad: 1500 
Tiempo consumido: 4273.884, para cantidad: 1500 
Tiempo consumido: 4105.147, para cantidad: 1500 
Tiempo consumido: 4203.970, para cantidad: 1500 
Tiempo consumido: 20209.408, para cantidad: 2000
Tiempo consumido: 19699.604, para cantidad: 2000
Tiempo consumido: 20294.932, para cantidad: 2000 
Tiempo consumido: 20834.775, para cantidad: 2000 
Tiempo consumido: 20352.228, para cantidad: 2000 
Tiempo consumido: 20604.764, para cantidad: 2000 
Tiempo consumido: 19252.602, para cantidad: 2000 
Tiempo consumido: 19036.507, para cantidad: 2000 
Tiempo consumido: 19489.385, para cantidad: 2000 
Tiempo consumido: 20331.940, para cantidad: 2000 
Tiempo consumido: 343585.819, para cantidad: 3500
Tiempo consumido: 334690.718, para cantidad: 3500
Tiempo consumido: 326002.853, para cantidad: 3500 
Tiempo consumido: 325310.867, para cantidad: 3500 
Tiempo consumido: 340437.246, para cantidad: 3500 
Tiempo consumido: 347784.828, para cantidad: 3500 
Tiempo consumido: 331241.471, para cantidad: 3500 
Tiempo consumido: 329145.846, para cantidad: 3500 
Tiempo consumido: 331798.839, para cantidad: 3500 
Tiempo consumido: 344886.933, para cantidad: 3500 
Tiempo consumido: 1134838.486, para cantidad: 5000
Tiempo consumido: 1104668.074, para cantidad: 5000 
Tiempo consumido: 1187965.956, para cantidad: 5000 
Tiempo consumido: 1088523.083, para cantidad: 5000 
Tiempo consumido: 1114776.068, para cantidad: 5000 
Tiempo consumido: 1094455.804, para cantidad: 5000 
Tiempo consumido: 1150796.122, para cantidad: 5000 
Tiempo consumido: 1167748.802, para cantidad: 5000 
Tiempo consumido: 1126039.358, para cantidad: 5000 
Tiempo consumido: 1089928.013, para cantidad: 5000 
